task,period,n,MAE,MSE,RMSE,R2,sMAPE
da,overall,409,79.48950243445822,10735.737231720404,103.61340276103475,0.7807639790246694,24.473717014091356
da,1_8,136,78.44566447385681,9272.140972999417,96.29195694864352,0.46503934295663474,22.11399831747997
da,9_16,136,96.67690446573566,16156.958452827103,127.11002498948343,0.18967389628874431,37.79668023872481
da,17_24,137,63.463774597874696,6807.000042782766,82.50454558860842,0.3382894170817258,13.590496168755568
rt,overall,399,126.524943600396,30349.798961122015,174.21193690767007,0.4862742102641434,34.83486897153305
rt,1_8,136,95.17766173857981,16786.15575626871,129.56139763165845,0.40158910032540784,24.660226774291267
rt,9_16,134,168.9263499541681,55234.57726214786,235.02037627011805,0.016508596363075,53.58196675363004
rt,17_24,129,115.52836904071798,18800.149220987034,137.11363615989123,0.24115645057250035,26.087894056989526
