task,period,n,MAE,MSE,RMSE,R2,sMAPE
da,overall,409,79.48950243445822,10735.737231720404,103.61340276103475,0.7807639790246694,24.473717014091356
da,1_8,136,78.44566447385681,9272.140972999417,96.29195694864352,0.46503934295663474,22.11399831747997
da,9_16,136,96.67690446573566,16156.958452827103,127.11002498948343,0.18967389628874431,37.79668023872481
da,17_24,137,63.463774597874696,6807.000042782766,82.50454558860842,0.3382894170817258,13.590496168755568
rt,overall,399,132.07068307558168,32579.60903081909,180.4982244533699,0.44853060146846435,37.40139324655656
rt,1_8,136,111.18582754259442,19841.97849694054,140.86155791038428,0.29265185096093604,31.441393584215465
rt,9_16,134,173.3637692596839,57415.90565197141,239.61616316928917,-0.022331525644536,55.37830554542833
rt,17_24,129,111.19523194237686,20209.485041463067,142.1600683787929,0.18427044484061594,25.011111897948595
