task,period,n,MAE,MSE,RMSE,R2,sMAPE
da,overall,409,81.87747952011648,11444.37342572016,106.97837830945167,0.766292818252163,25.501313354820198
da,1_8,136,83.55945597261191,10326.430743426725,101.61904714878371,0.40421158484291797,24.348359823287094
da,9_16,136,100.12414876930573,17588.006747456282,132.61978263990738,0.11790198499769355,38.77368044856896
da,17_24,137,62.0942983855974,6455.366659558075,80.34529643705396,0.37247180719847595,13.470362665321447
rt,overall,399,136.1719554993305,33898.13950798908,184.11447392312502,0.42621206448103166,36.820444428429816
rt,1_8,136,109.364113449308,21785.432904015506,147.5988919471129,0.22336950203599115,27.284798775955206
rt,9_16,134,171.28681041959857,55800.20846743117,236.2206774764461,0.006437125635876062,54.45795069512202
rt,17_24,129,127.95859084419203,23917.13840392059,154.65166796359034,0.03461584345727886,28.552397676490234
