task,period,n,MAE,MSE,RMSE,R2,sMAPE
da,overall,409,90.92746980938527,14386.444154946706,119.94350401312572,0.706212372337574,25.851936297124244
da,1_8,136,79.88453618576946,11849.338602400217,108.85466734320683,0.3163466795070988,24.691645024263185
da,9_16,136,112.64106954641903,22259.211347031207,149.19521221215916,-0.11637472208570698,35.10021449141838
da,17_24,137,80.33469176978787,9089.728950733796,95.34007001640913,0.11638463276690725,17.82298577657754
rt,overall,399,142.3535427033728,38700.933126101656,196.7255273880379,0.3449160088608991,40.88507603643357
rt,1_8,136,117.86365611311967,22993.070594474837,151.63466158657405,0.1803183372951398,33.507323121841345
rt,9_16,134,186.15380754347703,70179.55462260672,264.91424012802094,-0.24959748229487544,61.42772233783907
rt,17_24,129,122.67438834446162,22562.43718633085,150.20797976915492,0.08929659456652883,27.32429923020259
