task,period,n,MAE,MSE,RMSE,R2,sMAPE
da,overall,24,62.92966375209492,7015.864965040662,83.76076029407005,0.6169639976917617,23.071281098385455
da,1_8,8,34.0240348567486,1821.9802123226507,42.68466015236212,-0.11063551722194886,10.628656002681721
da,9_16,8,126.61458199691774,18082.694503545445,134.47190971926236,-0.5322482575552252,51.35562298923653
da,17_24,8,28.150374402618418,1142.9201792538893,33.80710249716603,0.15943453292107668,7.229564303238109
rt,overall,24,120.37409158271316,19115.987947034842,138.2605798737834,0.32643787741655106,34.91959427639284
rt,1_8,8,144.31144596018459,21858.649341558783,147.8467089304283,-12.814400704917086,35.79865747950699
rt,9_16,8,62.998820711309534,10807.429953180163,103.95878968697242,0.5969574581067125,27.150196901179193
rt,17_24,8,153.81200807664538,24681.88454636558,157.10469294825532,-3.2262236531667297,41.80992844849235
