task,period,n,MAE,MSE,RMSE,R2,sMAPE
da,overall,409,84.2492189769339,11415.457707851221,106.84314534798767,0.7668833102502812,24.961381562521915
da,1_8,136,77.76948171992268,9152.799213988881,95.67026295557508,0.4719248234512583,21.856551201742313
da,9_16,136,102.14257343723173,16492.10339006981,128.4215845956972,0.17286524434058537,37.421283652388496
da,17_24,137,72.91891284812385,8622.010571964724,92.85478217068157,0.16185168126281824,15.674595028537766
rt,overall,399,134.73218328123411,33153.07562093949,182.07986055832615,0.4388236318350207,36.72683120287144
rt,1_8,136,106.11268515656404,19475.15882227073,139.55342640820658,0.30572863248999627,26.959726660716356
rt,9_16,134,171.0775900504236,56097.1073588217,236.8482791975101,0.0011506271795546086,54.43833921217275
rt,17_24,129,127.15053396250332,23739.869665456805,154.07747942336286,0.04177106531840258,28.62593309811728
