task,period,n,MAE,MSE,RMSE,R2,sMAPE
da,overall,409,80.50973466297546,11137.454593829934,105.53413947074158,0.772560451486255,24.737282027376313
da,1_8,136,83.30985841019574,10049.738991106262,100.2483864763232,0.4201754492892059,23.468745035951656
da,9_16,136,99.27363443162864,17182.568658611614,131.0822972739325,0.13823607620606393,38.19368284561744
da,17_24,137,59.10311277860481,6216.241522005921,78.84314505399897,0.3957172358991583,12.63838071024464
rt,overall,399,131.3106691921881,32089.601999932296,179.13570833290692,0.45682486559986446,35.835044403717745
rt,1_8,136,106.25855141341059,20285.272137598004,142.42637444517783,0.27684884340056637,26.56375832131025
rt,9_16,134,167.9807163481794,54309.25181507145,233.04345477844137,0.03298468195791837,53.77612300824263
rt,17_24,129,119.63083740157496,21453.600341395995,146.47047600590363,0.13405335033775678,26.97295428124556
