task,period,n,MAE,MSE,RMSE,R2,sMAPE
da,overall,24,75.92051600879033,10690.385567405627,103.39432076959366,0.41635100286611537,26.94930231602351
da,1_8,8,47.62436124343872,3942.209212918994,62.78701468392166,-1.4030763553715615,16.076138037087357
da,9_16,8,154.87106507492066,26912.978344317857,164.05175507844424,-1.2804877981883287,58.81327373573284
da,17_24,8,25.266121708011617,1215.969144980029,34.87074913132824,0.10571036293108749,5.958495175250318
rt,overall,24,84.06574312877157,12821.93958024946,113.23400363958461,0.5482120587626138,27.219350624950188
rt,1_8,8,90.8195444439113,9016.393809870075,94.95469345888108,-4.6982512989065075,26.717650956569923
rt,9_16,8,107.33770629997255,26076.245499365912,161.4814091447245,0.027536027100944604,36.976391150417186
rt,17_24,8,54.03997864243089,3373.1794315123902,58.079079120733226,0.4224180624030859,17.964009767863466
