segment,count,rt_smape,rt_capped_smape,rt_mae,rt_rmse,delta_mae,delta_rmse,direction_accuracy,positive_direction_recall
17_24,248,20.39249326725862,17.03285164046867,74.31495145738744,100.24982379171658,74.31495145738744,100.24982379171658,0.5564516129032258,0.42105263157894735
1_8,248,30.848485476346717,21.697461014009082,70.98404160711024,103.65650696781012,70.98404160711024,103.65650696781012,0.6088709677419355,0.2558139534883721
9_16,248,56.1416922371374,20.76037312808392,69.27294573691174,117.0665107978116,69.27294573691174,117.0665107978116,0.7540322580645161,0.2
