month,decision_day,target_day,rows,train_rows,val_rows,train_tail_threshold,calibration_mode,use_visible_actual_history,da_fill_mode,rt_smape,rt_capped_smape,rt_mae,rt_rmse,delta_mae,delta_rmse,direction_accuracy,positive_direction_recall
2026-05,2026-04-30,2026-05-01,24,37200,720,,segment_bias,True,raw_da,48.45209370143482,18.86403574869389,77.0818201981907,102.40579744443681,77.0818201981907,102.40579744443681,0.5833333333333334,0.5263157894736842
2026-05,2026-05-01,2026-05-02,24,37224,720,,segment_bias,True,raw_da,22.990951177148954,22.990951177148954,103.7368932244168,123.2394391293949,103.7368932244168,123.23943912939488,0.5,1.0
2026-05,2026-05-02,2026-05-03,24,37248,720,,segment_bias,True,raw_da,63.33856410910977,22.349520102927414,84.26163477983734,104.58557079120487,84.26163477983735,104.58557079120487,0.6666666666666666,0.45454545454545453
2026-05,2026-05-03,2026-05-04,24,37272,720,,segment_bias,True,raw_da,31.843174829033,12.728151875711665,59.6532497863642,82.60909728029623,59.65324978636419,82.60909728029623,0.75,0.5
2026-05,2026-05-04,2026-05-05,24,37296,720,,segment_bias,True,raw_da,24.968330639956566,12.834867047720602,48.0766084597192,71.72297309489693,48.07660845971919,71.72297309489693,0.6666666666666666,0.2
2026-05,2026-05-05,2026-05-06,24,37320,720,,segment_bias,True,raw_da,37.21344846692437,19.125913352900795,77.51719344288006,129.13722589949015,77.51719344288006,129.13722589949015,0.8333333333333334,0.6
2026-05,2026-05-06,2026-05-07,24,37344,720,,segment_bias,True,raw_da,33.948882704436,16.06405127499922,76.49222641570455,116.23298834481648,76.49222641570456,116.23298834481648,0.5833333333333334,0.0
2026-05,2026-05-07,2026-05-08,24,37368,720,,segment_bias,True,raw_da,29.549263998556558,18.154645844531295,53.49502710239742,106.9666249112094,53.49502710239741,106.9666249112094,0.4583333333333333,0.14285714285714285
2026-05,2026-05-08,2026-05-09,24,37392,720,,segment_bias,True,raw_da,41.638889945839956,18.1259362967069,71.69794212034803,104.68661111837402,71.69794212034803,104.68661111837403,0.5416666666666666,0.0
2026-05,2026-05-09,2026-05-10,24,37416,720,,segment_bias,True,raw_da,32.828624133415154,17.718737469798896,80.93501530956287,112.06836242366138,80.93501530956287,112.06836242366138,0.5833333333333334,0.16666666666666666
2026-05,2026-05-10,2026-05-11,24,37440,720,,segment_bias,True,raw_da,43.04208294630326,35.75598182033139,91.05184690731888,142.2744947605424,91.05184690731888,142.27449476054238,0.4583333333333333,0.42857142857142855
2026-05,2026-05-11,2026-05-12,24,37464,720,,segment_bias,True,raw_da,19.143220804190893,11.247212438071912,31.428996913520667,58.52076710930471,31.428996913520667,58.520767109304714,0.75,0.4444444444444444
2026-05,2026-05-12,2026-05-13,24,37488,720,,segment_bias,True,raw_da,25.645840656569476,14.513316202687188,59.21583513092266,76.31604116036999,59.21583513092267,76.31604116036999,0.75,0.375
2026-05,2026-05-13,2026-05-14,24,37512,720,,segment_bias,True,raw_da,51.608816911171935,10.597375815943044,50.75779610531293,65.9917725661031,50.757796105312934,65.9917725661031,0.4583333333333333,0.4375
2026-05,2026-05-14,2026-05-15,24,37536,720,,segment_bias,True,raw_da,38.82359132527194,26.230999723467665,102.39384380281153,179.339014905669,102.3938438028115,179.339014905669,0.5,0.5333333333333333
2026-05,2026-05-15,2026-05-16,24,37560,720,,segment_bias,True,raw_da,54.54448706233588,23.518421632113697,81.09235671313604,127.24293800499413,81.09235671313604,127.24293800499413,0.375,0.2857142857142857
2026-05,2026-05-16,2026-05-17,24,37584,720,,segment_bias,True,raw_da,86.37921297076623,65.89635272959748,180.24064630347894,206.99193195575066,180.24064630347894,206.99193195575066,0.8333333333333334,
2026-05,2026-05-17,2026-05-18,24,37608,720,,segment_bias,True,raw_da,22.35186415936718,22.35186415936718,104.624875522634,116.2508234398556,104.62487552263399,116.2508234398556,0.9166666666666666,0.0
2026-05,2026-05-18,2026-05-19,24,37632,720,,segment_bias,True,raw_da,17.500509658611595,17.500509658611595,63.229058508785506,69.66707054191458,63.229058508785506,69.6670705419146,0.5833333333333334,0.0
2026-05,2026-05-19,2026-05-20,24,37656,720,,segment_bias,True,raw_da,16.704957690559894,16.704957690559894,63.228097850578905,72.48798422874373,63.228097850578905,72.48798422874373,0.375,0.18181818181818182
2026-05,2026-05-20,2026-05-21,24,37680,720,,segment_bias,True,raw_da,42.58810352883207,11.506313653827817,53.00193853879483,82.0992856222891,53.00193853879483,82.0992856222891,0.75,0.42857142857142855
2026-05,2026-05-21,2026-05-22,24,37704,720,,segment_bias,True,raw_da,47.3091592629501,33.11016001225899,83.36519525567108,125.09754094747078,83.36519525567108,125.09754094747078,0.375,0.0
2026-05,2026-05-22,2026-05-23,24,37728,720,,segment_bias,True,raw_da,31.314857116590574,7.91628756470828,34.94693241001253,56.254552168502215,34.94693241001253,56.25455216850221,0.7916666666666666,0.0
2026-05,2026-05-23,2026-05-24,24,37752,720,,segment_bias,True,raw_da,45.4156292723755,17.531895761401234,63.71716522417944,85.52216469314874,63.71716522417944,85.52216469314874,0.5416666666666666,0.0
2026-05,2026-05-24,2026-05-25,24,37776,720,,segment_bias,True,raw_da,8.503103733015552,8.503103733015552,32.833647229252826,38.44886179949072,32.833647229252826,38.448861799490714,0.9583333333333334,0.0
2026-05,2026-05-25,2026-05-26,24,37800,720,,segment_bias,True,raw_da,23.876103365670428,23.876103365670428,61.75334315710953,92.10592006413857,61.753343157109526,92.10592006413857,1.0,
2026-05,2026-05-26,2026-05-27,24,37824,720,,segment_bias,True,raw_da,7.476661022554914,7.476661022554914,27.726995172278844,39.45002227052092,27.726995172278837,39.45002227052092,0.5416666666666666,0.1
2026-05,2026-05-27,2026-05-28,24,37848,720,,segment_bias,True,raw_da,36.53419304353093,16.15630669725172,73.61655126020365,102.14850013427753,73.61655126020365,102.14850013427753,0.5416666666666666,0.36363636363636365
2026-05,2026-05-28,2026-05-29,24,37872,720,,segment_bias,True,raw_da,21.630943722662874,9.155053199795416,45.32975892951427,60.171614316265064,45.32975892951426,60.171614316265064,0.625,0.1111111111111111
2026-05,2026-05-29,2026-05-30,24,37896,720,,segment_bias,True,raw_da,38.01927347715122,16.751867431862866,82.04598029856608,112.22100151933886,82.04598029856608,112.22100151933886,0.8333333333333334,0.0
2026-05,2026-05-30,2026-05-31,24,37920,720,,segment_bias,True,raw_da,64.43609803133731,39.47953191556612,98.69489554105996,151.86204891166938,98.69489554105996,151.86204891166938,0.7083333333333334,0.0
