tail_quantile,count,threshold_abs_delta,tail_delta_mae,tail_rt_smape,tail_direction_accuracy
0.9,75,181.9765,253.37127736231128,119.27523212450659,0.7466666666666667
0.95,38,239.58685000000008,307.68358731251857,155.89713562249491,0.7894736842105263
