task,period,n,MAE,MSE,RMSE,R2,sMAPE
da,overall,409,80.60743786408355,10891.054117718004,104.36021328896373,0.7775922307467977,24.2564663982581
da,1_8,136,78.1736681173209,9179.875386979207,95.81166623631596,0.47036265055771587,21.84627392299139
da,9_16,136,98.37823596365803,16310.751238369507,127.7135515063672,0.1819606680192447,37.03684878882182
da,17_24,137,65.382358623336,7209.60520510393,84.90939409219648,0.2991520445283192,13.961971299861077
rt,overall,399,132.46107218349715,32244.473955527694,179.56746352145117,0.4542033748348646,36.23143856990491
rt,1_8,136,103.45196692616823,18730.622195531087,136.85986334762683,0.3322706733906695,26.472526457462425
rt,9_16,134,167.91866711370557,54641.69579933439,233.75563265798408,0.02706527753916721,53.58322950823774
rt,17_24,129,126.21239462030961,23226.304283352816,152.40178569607647,0.06250046341189386,28.4955630780877
