task,period,n,MAE,MSE,RMSE,R2,sMAPE
da,overall,409,85.16767071413642,12027.987470413633,109.67218184395546,0.7543747526193838,23.35383550575714
da,1_8,136,75.06056254503184,8735.180379240217,93.46218689523704,0.49601954406448034,20.889146582648387
da,9_16,136,108.45355831747335,18824.01346479116,137.20063215886128,0.055912068371791745,33.77803352603573
da,17_24,137,72.08508675022689,8550.33950810883,92.46804587590694,0.1688188475834268,15.45242501513598
rt,overall,399,140.35765651836158,35796.93756830579,189.20078638395188,0.3940714386292862,37.6834352550063
rt,1_8,136,113.61571348481526,22129.18655396699,148.7588200879766,0.21111500291655627,28.69894660047516
rt,9_16,134,179.38650966364773,61154.99755102754,247.29536500110055,-0.0889087481455264,55.5742191379462
rt,17_24,129,128.00911334854732,23865.418965711684,154.48436479369582,0.03670343125264752,28.571229182931013
