task,period,n,MAE,MSE,RMSE,R2,sMAPE
da,overall,409,79.48950243445822,10735.737231720404,103.61340276103475,0.7807639790246694,24.473717014091356
da,1_8,136,78.44566447385681,9272.140972999417,96.29195694864352,0.46503934295663474,22.11399831747997
da,9_16,136,96.67690446573566,16156.958452827103,127.11002498948343,0.18967389628874431,37.79668023872481
da,17_24,137,63.463774597874696,6807.000042782766,82.50454558860842,0.3382894170817258,13.590496168755568
rt,overall,399,128.36678770169254,31265.262134376317,176.81985786210868,0.47077832370961925,35.17808040133907
rt,1_8,136,99.64784130228036,18143.23118155029,134.69681206899548,0.35321061879810756,25.575127533861565
rt,9_16,134,168.88272314294264,55231.656415233636,235.01416215886573,0.01656060414468319,53.55220501256779
rt,17_24,129,116.55780600551071,20204.016986697687,142.14083504291682,0.18449115575295238,26.215823750736707
