task,period,n,MAE,MSE,RMSE,R2,sMAPE
da,overall,24,120.04047841839792,24833.02196148685,157.58496743498998,-0.06825665511540402,40.6863002864825
da,1_8,8,54.903332971191425,5284.229641895596,72.69270693746104,-0.761114618759064,15.238757249676842
da,9_16,8,248.2063359451294,64397.57547982203,253.7667737900729,-4.761827030057214,95.06634416587256
da,17_24,8,57.01176633887293,4817.260762742926,69.40648934172457,-0.7479151225840135,11.753799443898066
rt,overall,15,169.35578505196887,55115.10689345673,234.766068445712,-1.7698872264517886,67.15962028941445
rt,1_8,8,74.85962382409569,11322.933605082517,106.40927405580078,0.6329943201842576,25.181666097936994
rt,9_16,6,322.0617355041504,122676.752979149,350.2524132381517,-16.893557205882725,133.99711163153117
rt,17_24,1,9.089372161865185,82.6166862968898,9.089372161865185,,1.9583057685336243
