task,period,n,MAE,MSE,RMSE,R2,sMAPE
da,overall,409,80.53546690045674,11481.200597004983,107.15036442777497,0.7655407653356286,23.516704507259053
da,1_8,136,80.71410219063795,9842.515275008673,99.20945154071094,0.4321313217938787,22.83644491462824
da,9_16,136,100.22171395935871,18056.1801206784,134.37328648462238,0.09442150712854036,34.770035981783835
da,17_24,137,60.815583692607746,6580.937739865667,81.12297911113514,0.36026500358076274,13.0208083325322
rt,overall,399,132.54940302483251,33129.75574731552,182.0158118057756,0.43921836329631836,36.31039249476088
rt,1_8,136,114.20437884183183,22436.984042189324,149.78979952650087,0.20014230764796137,28.789397734006307
rt,9_16,134,164.19529127587364,55063.02036285139,234.65510939003948,0.019563290434361114,53.193243098198
rt,17_24,129,119.01742056939514,21619.364223403547,147.03524823457656,0.12736250703056273,26.70227859245118
