task,period,n,MAE,MSE,RMSE,R2,sMAPE
da,overall,409,79.54199926725211,10885.665758387824,104.33439393789482,0.7777022672010845,24.49800700029337
da,1_8,136,83.1708285716127,10016.344506926987,100.08168916903325,0.4221021602020567,23.44334478244205
da,9_16,136,96.57253948637037,16467.050287677237,128.32400511080237,0.17412174214658804,37.49492377622224
da,17_24,137,59.033428061462914,6207.997103025151,78.79084403041479,0.39651867842234023,12.642922183515665
rt,overall,399,130.51271352110095,31454.011439955586,177.35278808058132,0.467583396909774,36.159300326248086
rt,1_8,136,102.46903444624532,18742.899435527914,136.90470932560325,0.3318330011601305,26.000283208625895
rt,9_16,134,168.39357843929258,54142.018782229396,232.68437588765903,0.03596238647484984,55.09622501926991
rt,17_24,129,120.72902712685823,21287.486236370103,145.90231744687986,0.14075832994116877,27.19866791641627
