task,period,n,MAE,MSE,RMSE,R2,sMAPE
da,overall,409,80.29852194054988,11237.383205019825,106.00652435119183,0.7705197950668586,24.755136930450185
da,1_8,136,82.80766132831522,9936.29574068662,99.68096980209724,0.4267206124784143,23.54970299493088
da,9_16,136,98.58018647051279,17514.173673062847,132.34112615911522,0.12160496335670423,38.00258441833486
da,17_24,137,59.6594757156518,6297.999201337089,79.3599344842036,0.3877695465634379,12.801021287226158
rt,overall,399,131.50940693678595,31963.49580081575,178.78337674631763,0.45895944338783357,36.281075566098316
rt,1_8,136,104.06527859188046,19311.276039996734,138.96501732449335,0.3115709018341929,26.305990451771017
rt,9_16,134,170.85622712341498,55583.443679577234,235.76141261787782,0.010296778701631037,55.383828763966015
rt,17_24,129,119.57086081197083,20766.82038777193,144.1069755000497,0.1617743291213697,26.954274380317216
