label,hour,smape_floor50,n_samples
shadow,1,0.06173051392678683,3
shadow,2,0.12182648772759823,3
shadow,3,0.18653170928505491,3
shadow,4,0.1677504257154779,3
shadow,5,0.18272118510252025,3
shadow,6,0.12301336466882662,3
shadow,7,0.21093173676711482,3
shadow,8,0.23945522741222428,3
shadow,9,0.3151744477028373,3
shadow,10,1.2306898818867034,3
shadow,11,1.360486790748432,3
shadow,12,1.814500530803345,3
shadow,13,1.0835662580795578,3
shadow,14,1.372934576221108,3
shadow,15,1.8125420861829655,3
shadow,16,1.025368403385396,3
shadow,17,0.08588969104154372,3
shadow,18,0.08519936723037218,3
shadow,19,0.10315964876564182,3
shadow,20,0.07840104887688647,3
shadow,21,0.0898388715863044,3
shadow,22,0.15298323197557528,3
shadow,23,0.16458498229513333,3
shadow,24,0.2772008326801531,3
low_weight,1,0.06173051392678683,3
low_weight,2,0.12182648772759823,3
low_weight,3,0.18653170928505491,3
low_weight,4,0.1677504257154779,3
low_weight,5,0.18272118510252025,3
low_weight,6,0.12301336466882662,3
low_weight,7,0.21093173676711482,3
low_weight,8,0.23945522741222428,3
low_weight,9,0.3151744477028373,3
low_weight,10,1.2306898818867034,3
low_weight,11,1.360486790748432,3
low_weight,12,1.814500530803345,3
low_weight,13,1.0897143480078035,3
low_weight,14,1.3767457933608274,3
low_weight,15,1.8125420861829655,3
low_weight,16,1.0286369811339953,3
low_weight,17,0.08588969104154372,3
low_weight,18,0.08519936723037218,3
low_weight,19,0.10315964876564182,3
low_weight,20,0.07840104887688647,3
low_weight,21,0.0898388715863044,3
low_weight,22,0.15298323197557528,3
low_weight,23,0.16458498229513333,3
low_weight,24,0.2772008326801531,3
high_weight,1,0.06173051392678683,3
high_weight,2,0.12182648772759823,3
high_weight,3,0.18653170928505491,3
high_weight,4,0.1677504257154779,3
high_weight,5,0.18272118510252025,3
high_weight,6,0.12301336466882662,3
high_weight,7,0.21093173676711482,3
high_weight,8,0.23945522741222428,3
high_weight,9,0.3151744477028373,3
high_weight,10,1.2306898818867034,3
high_weight,11,1.360486790748432,3
high_weight,12,1.814500530803345,3
high_weight,13,1.0897143480078035,3
high_weight,14,1.3767457933608274,3
high_weight,15,1.8125420861829655,3
high_weight,16,1.0286369811339953,3
high_weight,17,0.08588969104154372,3
high_weight,18,0.08519936723037218,3
high_weight,19,0.10315964876564182,3
high_weight,20,0.07840104887688647,3
high_weight,21,0.0898388715863044,3
high_weight,22,0.15298323197557528,3
high_weight,23,0.16458498229513333,3
high_weight,24,0.2772008326801531,3
