task,period,n,MAE,MSE,RMSE,R2,sMAPE
da,overall,409,77.97678432366543,9417.947427096777,97.0461097988826,0.8076747525478813,25.17448772898851
da,1_8,136,80.94536410233115,9075.952846238843,95.26779543076896,0.476358511798175,23.212085597090955
da,9_16,136,90.74005910228833,12511.755125273006,111.85595703972591,0.37249316999526083,38.811027893201974
da,17_24,137,62.35976082153948,6686.220536912188,81.76931292919238,0.3500304302640218,13.585562383039862
rt,overall,399,132.30342060058194,31334.117110284988,177.01445452359246,0.46961282745966926,37.286321801474514
rt,1_8,136,113.86817323948793,19795.168689569862,140.69530443326764,0.2943205772225651,31.01539501120991
rt,9_16,134,173.07426298428956,56477.874151583994,237.6507398506977,-0.005629199625216907,55.85030192164269
rt,17_24,129,109.3879226292018,17380.888751239963,131.83659867897063,0.2984430518523845,24.61401720747026
