task,period,n,MAE,MSE,RMSE,R2,sMAPE
da,overall,409,80.432189495806,11112.428012718003,105.4155017666662,0.7730715228680494,24.14471366421927
da,1_8,136,74.06400198492165,8586.062568992349,92.66100889258841,0.5046229682336518,20.756129558106462
da,9_16,136,98.51797641994814,17070.010337725744,130.6522496466316,0.14388125663219598,36.903651495901876
da,17_24,137,68.80012000527277,7706.256510131399,87.78528641026011,0.2508724173076182,14.842756681171885
rt,overall,399,134.19873414388022,32717.340614117544,180.87935375304045,0.4461992428162306,36.59165816019417
rt,1_8,136,110.485050185168,21096.830739066998,145.24748100764776,0.24791753119929882,28.185274256701277
rt,9_16,134,170.1815424996023,54842.16491555364,234.18404069354008,0.023495780635794716,53.97649724855865
rt,17_24,129,121.82171630448568,21986.045161516264,148.27692052884112,0.11256190830583346,27.395532369761526
