task,period,n,MAE,MSE,RMSE,R2,sMAPE
da,overall,409,85.50957672572974,10771.035916933095,103.78360138737283,0.7800431395401833,25.13519932797553
da,1_8,136,88.30911974979256,10170.441205219719,100.8486053707225,0.41321147667956215,24.420200979812503
da,9_16,136,87.75073185042211,13335.841928393864,115.48091586229243,0.3311624300393168,33.21233524375026
da,17_24,137,80.50567199411881,8821.161925942986,93.92104091173067,0.14249211644694293,17.826799990784366
rt,overall,399,137.31617927574067,34930.89474586681,186.8980865227539,0.4087307954662939,39.597811627346594
rt,1_8,136,119.67573442808607,22114.096524651442,148.70809165829357,0.21165294848014726,34.16344301033507
rt,9_16,134,176.86396846051267,62431.982863567646,249.86392869633593,-0.11164639075466942,58.606266840709345
rt,17_24,129,114.83320833404748,19876.156376203075,140.98282298281262,0.19772482248935597,25.581851420547853
