task,period,n,MAE,MSE,RMSE,R2,sMAPE
da,overall,409,79.23039793548467,10684.624203319969,103.3664558902934,0.7818077654665918,24.398730388771465
da,1_8,136,77.98142990568913,9195.77601044341,95.89460887058985,0.4694452563980952,21.94837850442885
da,9_16,136,96.33882800725873,16034.65792030618,126.62802975765744,0.19580768157319872,37.73873468893842
da,17_24,137,63.48669839016294,6851.622515152731,82.7745281783758,0.3339516527189226,13.588564486931245
rt,overall,399,127.0080589383987,30504.2479571888,174.6546534083441,0.48365987886181816,34.9751372598741
rt,1_8,136,96.25190838068184,17042.32090933538,130.54624050249544,0.3924570499657143,24.856010971071754
rt,9_16,134,168.86628829901113,55294.713738150895,235.1482803214833,0.015437823124179628,53.71854602427169
rt,17_24,129,115.95250654713848,18945.330622763548,137.64203799262617,0.23529639228573085,26.173465948617075
