task,period,n,MAE,MSE,RMSE,R2,sMAPE
da,overall,408,77.57334238689451,10018.96869026718,100.09479851754126,0.7951357858833342,21.965937216935302
da,1_8,136,71.39343443903475,8560.68054800305,92.52394580865567,0.5060873962082764,20.636984339666657
da,9_16,136,95.73200569513405,14516.13943079414,120.4829424889438,0.2719665189318776,31.09724276317461
da,17_24,136,65.59458702651473,6980.086092004354,83.54690952994224,0.3204831217638612,14.163584547964625
rt,overall,399,140.13556575334314,34596.73771109348,186.00198308376577,0.4143870137102639,39.51898964403228
rt,1_8,136,113.62896469844134,21346.47284371872,146.10432178316532,0.23901802147173612,28.951754799214907
rt,9_16,134,184.60123657527004,59951.979922818544,244.850934086065,-0.06748815339467207,61.78670435682504
rt,17_24,129,121.89136306596674,22228.005661417592,149.09059548280567,0.10279548770947944,27.528835902799237
