task,period,n,MAE,MSE,RMSE,R2,sMAPE
da,overall,409,87.46870168306741,12909.049090817101,113.61799633340266,0.7363824676256144,24.47207359699995
da,1_8,136,73.13050708286167,8945.775637124792,94.58211055545753,0.4838691488260757,21.049249135983665
da,9_16,136,126.57655606090742,23363.55533823624,152.85141588561174,-0.1717613077579334,38.89687713877661
da,17_24,137,62.879842341766256,6465.197558358344,80.40645221845287,0.37151614248056053,13.550400932887454
rt,overall,399,133.4703584036687,32034.77380921319,178.98260756065991,0.4577529328866706,36.38508813987652
rt,1_8,136,97.83809997625603,17076.662037845635,130.67770291004368,0.3912328205527358,25.522618399212394
rt,9_16,134,175.53183225911107,56277.67758502402,237.22916680927753,-0.0020645556646974317,55.05385934270114
rt,17_24,129,127.34438669435751,22622.014855316567,150.4061662808961,0.08689181951563374,28.444627237177478
