task,period,n,MAE,MSE,RMSE,R2,sMAPE
da,overall,409,80.7162261614761,11499.722541273582,107.23675928185065,0.7651625260704037,23.533817976920133
da,1_8,136,81.6821972654511,10033.262873049087,100.16617629244458,0.4211260468876523,23.03616680059402
da,9_16,136,99.50748370495404,17990.265972422607,134.12779716532515,0.09772732456265132,34.510095802266
da,17_24,137,61.10321086181481,6512.31092260398,80.69889046699453,0.3669362377468629,13.131677653805617
rt,overall,399,132.81691191343836,33300.18026226637,182.4833698238455,0.43633361705316775,36.25226973953501
rt,1_8,136,114.4403395403318,22492.912454162226,149.97637298642152,0.19814851158101043,28.896073296040175
rt,9_16,134,164.0728585974769,55288.93335579953,235.1359890697286,0.015540746992417476,52.75737652736938
rt,17_24,129,119.72324514662694,21852.858613961867,147.82712408067022,0.11793780991672853,26.862800024383795
