task,period,n,MAE,MSE,RMSE,R2,sMAPE
da,overall,24,45.31438903464476,4647.972233255635,68.17603855648724,0.7462407398179428,17.651819607797755
da,1_8,8,25.486465837430952,1396.8723644290885,37.374755710627575,0.14850004930459115,8.244849478189836
da,9_16,8,96.25368789803983,12222.611514560303,110.55592030533826,-0.03569051571863224,41.16598838637624
da,17_24,8,14.203013368463523,324.4328207775124,18.01201878684098,0.7613945133853456,3.5446209588271973
rt,overall,24,62.695643430691405,5838.388776736952,76.409350060951,0.7942812295225203,20.47395888092739
rt,1_8,8,64.70970945310592,5149.5725642471325,71.76052232423572,-2.2544672705968876,17.300684214484534
rt,9_16,8,71.82428653537465,9100.40471260599,95.39604138855024,0.6606177173003949,26.4241185439318
rt,17_24,8,51.55293430359364,3265.189053357734,57.141832779127185,0.44090901229851565,17.697073884365828
