task,period,n,MAE,MSE,RMSE,R2,sMAPE
da,overall,24,91.202570440499,13691.35361327293,117.01005774407997,0.41103102000231007,35.709727468963585
da,1_8,8,34.58610083923342,2790.9006369646017,52.8289753541047,0.06985573217836794,9.390210147224224
da,9_16,8,174.01979152679445,32667.034255974315,180.7402397253426,-1.922808810198982,84.44976392481831
da,17_24,8,65.00181895546913,5616.125946879882,74.9408162944592,-1.0377787203901185,13.289208334848215
rt,overall,15,176.47960470748106,59322.46197861477,243.56202901645972,-1.9813337746741193,67.31452016974934
rt,1_8,8,76.50916842511592,11506.79908976605,107.2697491829176,0.6270347623916868,25.540758548327595
rt,9_16,6,336.5999466908773,132923.60569720596,364.58689731970065,-18.388156963686644,133.67845568806646
rt,17_24,1,15.521043066024731,240.9027778573944,15.521043066024731,,3.3210000312207346
