task,period,n,MAE,MSE,RMSE,R2,sMAPE
da,overall,409,85.77785142578028,11139.212744062334,105.5424689121035,0.7725245480496388,24.55338908910327
da,1_8,136,84.18455865700912,9448.545026902153,97.20362661393942,0.45486162576534905,23.754565748077205
da,9_16,136,92.89422163746953,14949.811232792114,122.26942067742087,0.25021641153211716,32.14505400282752
da,17_24,137,80.29508841675217,9034.755919730467,95.05133307708245,0.12172857814098792,17.81013030160726
rt,overall,399,131.83836666091787,34514.42229182957,185.78057565803152,0.41578035255323165,37.729545364685805
rt,1_8,136,111.53445372635348,20244.385685781854,142.28276665071513,0.27830640752489944,31.18192773695577
rt,9_16,134,176.80273929918692,65214.051172917985,255.37041953389587,-0.161183119416334,57.77637923605062
rt,17_24,129,106.53686453357446,17669.264992268665,132.92578753676304,0.2868031202890492,23.80861713684392
