task,period,n,MAE,MSE,RMSE,R2,sMAPE
da,overall,409,81.1930510522391,11330.994546235448,106.44714437802195,0.7686081445184791,25.03341232209119
da,1_8,136,83.94067300085146,10151.591893425182,100.75510852272049,0.41429899683825944,23.680308146852873
da,9_16,136,100.22750172171945,17635.717316387778,132.79953808800607,0.11550913862496903,38.752599942665654
da,17_24,137,59.56997166493547,6243.085524640404,79.01319842051961,0.3931077220869823,12.75759225956772
rt,overall,399,130.98470667338395,31674.33530135665,177.9728498995188,0.46385401307296825,35.76577028929051
rt,1_8,136,105.57955200464737,19926.12144868016,141.15991445406928,0.2896522326931872,26.471828005833697
rt,9_16,134,168.64245918528897,53952.41429443768,232.27659006976506,0.03933843084917554,53.84375173130485
rt,17_24,129,118.65108030402662,20918.478703613564,144.6322187605983,0.15565283862995438,26.78535662510605
