task,period,n,MAE,MSE,RMSE,R2,sMAPE
da,overall,24,95.07163241269988,14212.135724394639,119.21466237168413,0.38862823080759934,34.639256067222
da,1_8,8,24.82228066042662,1303.2769313850538,36.10092701559135,0.5656471781702669,6.31133083659787
da,9_16,8,171.1705393922329,31424.267352294515,177.2689125376881,-1.811615059745963,79.08550086473896
da,17_24,8,89.22207718544007,9908.862889504344,99.5432714426462,-2.595373417633785,18.520936500329178
rt,overall,15,188.95352451980318,53676.46038945798,231.68180849919568,-1.69758602267278,60.484659640591
rt,1_8,8,148.39736946194114,34110.8032255699,184.69110218299608,-0.10561970629607598,39.947278754593654
rt,9_16,6,261.24249611080216,87652.2234606154,296.0611819550402,-11.784900452834089,95.28997248925884
rt,17_24,1,79.66893543670597,6347.139273618023,79.66893543670597,,15.951829636562811
