task,period,n,MAE,MSE,RMSE,R2,sMAPE
da,overall,409,77.77129930429321,10577.417302693075,102.84657166232171,0.7839970528724993,23.354358283062535
da,1_8,136,73.09809212441095,8799.377159136757,93.8049953847702,0.49231567980556457,20.491109451561684
da,9_16,136,94.18448698000138,15650.778281911435,125.10307063342384,0.2150605435882068,35.39759615180093
da,17_24,137,66.11701209675805,7306.149903787691,85.47601946620871,0.28976690446042175,14.241376465074895
rt,overall,399,129.906301976992,32247.09685131654,179.57476674443026,0.45415897753219236,35.60654592438908
rt,1_8,136,98.50151431764893,17838.139903891908,133.55949948952306,0.3640868401675087,25.288989985175007
rt,9_16,134,173.9679805333579,59293.934713805014,243.5034593466898,-0.055771184815412544,54.98122109359079
rt,17_24,129,117.24572984612091,19342.77027206301,139.07828828419989,0.21925425822538258,26.358337669040914
