task,period,n,MAE,MSE,RMSE,R2,sMAPE
da,overall,409,85.46742052088648,12083.710810225148,109.92593329249085,0.7532368183506838,24.70344540254084
da,1_8,136,76.51640199431307,9312.127753555262,96.49936659665318,0.4627322863165886,21.400838319152292
da,9_16,136,106.07140025032058,18165.526637192008,134.77954828976095,0.08893740955289997,36.80870135455651
da,17_24,137,73.89951742899558,8797.640322923044,93.79573723215275,0.14477865876333396,15.965049445363539
rt,overall,399,139.27632843013868,34951.36531046906,186.95284247763942,0.40838429376524144,37.85151964099682
rt,1_8,136,119.04977212201683,24160.461938774457,155.43635977072563,0.13870191750505256,29.614149933863633
rt,9_16,134,170.59666586422313,56244.9742787905,237.1602291253542,-0.0014822497587694272,55.18014247948911
rt,17_24,129,128.06614580794684,24208.878929038023,155.5920272026752,0.02284011694629895,28.535603515509596
