task,period,n,MAE,MSE,RMSE,R2,sMAPE
da,overall,409,83.68683548675746,11628.119505733293,107.83375865531765,0.762540513349164,24.221094984324225
da,1_8,136,73.10162337593566,8656.242388157183,93.03892942288826,0.5005739096310129,20.515337943160826
da,9_16,136,106.94629096046056,17922.132224463363,133.87356805756454,0.1011444624278166,36.93631739029587
da,17_24,137,71.10510484915267,8330.233069551256,91.27011049380435,0.1902154626629906,15.277392140426988
rt,overall,399,133.52361158828077,32485.896455269158,180.2384433334608,0.4501168580016375,36.385401290597144
rt,1_8,136,113.52909295964115,21938.923733844982,148.11793859571833,0.21789769616788723,28.82643574983239
rt,9_16,134,166.75014045533518,53490.72594462704,231.28062163663225,0.04755912422106545,53.0329050054231
rt,17_24,129,120.08872527285219,21786.215358677946,147.60154253488662,0.12062777816062953,27.061787459258568
