task,period,n,MAE,MSE,RMSE,R2,sMAPE
da,overall,24,45.66947715309461,4725.036359158247,68.73889989778893,0.7420333705407116,17.796426355400243
da,1_8,8,25.680589250802978,1383.478224433238,37.195137107332165,0.15666479637562047,8.286546228083239
da,9_16,8,97.51508068513871,12476.757679924513,111.69940769728599,-0.0572257475928033,41.67331786098038
da,17_24,8,13.81276152334214,314.87317311699053,17.74466604692775,0.768425196583294,3.429414977137108
rt,overall,24,62.668547443302565,5862.5000385868125,76.5669644075486,0.7934316562357641,20.576357981099726
rt,1_8,8,65.95128460264206,5303.789669364678,72.82712179788982,-2.3519306066135206,17.63876945645014
rt,9_16,8,70.87783126060988,9038.386180669797,95.07042747705407,0.6629305804754828,26.49664444387585
rt,17_24,8,51.17652646665574,3245.3242657259634,56.96774759217678,0.4443104152666242,17.59366004297319
