task,period,n,MAE,MSE,RMSE,R2,sMAPE
da,overall,24,94.68751291943393,14246.272280195417,119.35774914179396,0.38715975858647955,34.582558403310856
da,1_8,8,24.143637813782696,1231.9233401611905,35.09876550765269,0.5894277216214834,6.139560954038516
da,9_16,8,172.3933191728592,31898.996633185514,178.60290208500396,-1.8540903855981674,79.4480535937861
da,17_24,8,87.52558177165986,9607.89686723955,98.01987995932024,-2.486169642374367,18.160060662107952
rt,overall,15,191.9853610049833,55464.947630274066,235.5099735261207,-1.787468964795797,61.45790793600987
rt,1_8,8,148.06918523344154,33820.08007427487,183.90236560271558,-0.09619661405686042,39.88228360022894
rt,9_16,6,269.2757846047347,92513.63912939119,304.1605482790153,-12.493983610468684,97.81272362575191
rt,17_24,1,79.57222557880891,6331.739083564851,79.57222557880891,,15.93400848380524
