task,period,n,MAE,MSE,RMSE,R2,sMAPE
da,overall,720,64.28094260063172,7083.480749056214,84.1634169283556,0.7370583829510517,23.413128386318917
da,1_8,240,66.69781444244386,7525.546901957694,86.74991009769228,0.6549952177766633,25.49023948116774
da,9_16,240,75.52258561999002,9320.466081617978,96.54256098539119,0.7256500796560519,27.30910341126532
da,17_24,240,50.62242773946126,4404.429263592972,66.3658742396495,0.6720957799013492,17.44004226652368
rt,overall,720,123.46429597562154,32822.757496168095,181.17052049427934,0.29074108607514226,41.04678004195563
rt,1_8,240,99.96497226460775,19748.391760010316,140.52897124796124,0.3405007027922353,41.62905744663302
rt,9_16,240,162.88586874860127,53812.78601667155,231.97583067352414,0.2669092417036104,50.15238972345624
rt,17_24,240,107.54204691365561,24907.094711822443,157.81981723415612,0.02153423022165979,31.358892955777645
